phase,task,scene_id,candidate_id,rollout_id,seed,success,failure_type,baseline_labels,relative_video_path,absolute_video_path
search,TurnOnSinkFaucet,1,0,0,101000,False,policy_failure,,TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_00/rollout_00/TurnOnSinkFaucet_epoch_rollout_00.mp4,/home/cwl/桌面/SkillBasin/GateA_artifacts/gate_a_20260912_r2/TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_00/rollout_00/TurnOnSinkFaucet_epoch_rollout_00.mp4
search,TurnOnSinkFaucet,1,0,1,101001,True,success,,TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_00/rollout_01/TurnOnSinkFaucet_epoch_rollout_01.mp4,/home/cwl/桌面/SkillBasin/GateA_artifacts/gate_a_20260912_r2/TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_00/rollout_01/TurnOnSinkFaucet_epoch_rollout_01.mp4
search,TurnOnSinkFaucet,1,0,2,101002,False,policy_failure,,TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_00/rollout_02/TurnOnSinkFaucet_epoch_rollout_02.mp4,/home/cwl/桌面/SkillBasin/GateA_artifacts/gate_a_20260912_r2/TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_00/rollout_02/TurnOnSinkFaucet_epoch_rollout_02.mp4
search,TurnOnSinkFaucet,1,1,0,101010,False,policy_failure,,TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_01/rollout_00/TurnOnSinkFaucet_epoch_rollout_00.mp4,/home/cwl/桌面/SkillBasin/GateA_artifacts/gate_a_20260912_r2/TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_01/rollout_00/TurnOnSinkFaucet_epoch_rollout_00.mp4
search,TurnOnSinkFaucet,1,1,1,101011,False,policy_failure,,TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_01/rollout_01/TurnOnSinkFaucet_epoch_rollout_01.mp4,/home/cwl/桌面/SkillBasin/GateA_artifacts/gate_a_20260912_r2/TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_01/rollout_01/TurnOnSinkFaucet_epoch_rollout_01.mp4
search,TurnOnSinkFaucet,1,1,2,101012,False,policy_failure,,TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_01/rollout_02/TurnOnSinkFaucet_epoch_rollout_02.mp4,/home/cwl/桌面/SkillBasin/GateA_artifacts/gate_a_20260912_r2/TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_01/rollout_02/TurnOnSinkFaucet_epoch_rollout_02.mp4
search,TurnOnSinkFaucet,1,9,0,101090,False,policy_failure,,TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_09/rollout_00/TurnOnSinkFaucet_epoch_rollout_00.mp4,/home/cwl/桌面/SkillBasin/GateA_artifacts/gate_a_20260912_r2/TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_09/rollout_00/TurnOnSinkFaucet_epoch_rollout_00.mp4
search,TurnOnSinkFaucet,1,9,1,101091,False,policy_failure,,TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_09/rollout_01/TurnOnSinkFaucet_epoch_rollout_01.mp4,/home/cwl/桌面/SkillBasin/GateA_artifacts/gate_a_20260912_r2/TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_09/rollout_01/TurnOnSinkFaucet_epoch_rollout_01.mp4
search,TurnOnSinkFaucet,1,9,2,101092,False,policy_failure,,TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_09/rollout_02/TurnOnSinkFaucet_epoch_rollout_02.mp4,/home/cwl/桌面/SkillBasin/GateA_artifacts/gate_a_20260912_r2/TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_09/rollout_02/TurnOnSinkFaucet_epoch_rollout_02.mp4
search,TurnOnSinkFaucet,1,26,0,101260,False,policy_failure,,TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_26/rollout_00/TurnOnSinkFaucet_epoch_rollout_00.mp4,/home/cwl/桌面/SkillBasin/GateA_artifacts/gate_a_20260912_r2/TurnOnSinkFaucet_scene1/TurnOnSinkFaucet/scene_1/candidate_26/rollout_00/TurnOnSinkFaucet_epoch_rollout_00.mp4
